fievre: fever
douleurxx_endroitducorps: body_pain_location
douleurxx: pain
douleurxx_irrad: pain_radiation
douleurxx_carac: pain_characteristics
douleurxx_soudain: pain_sudden_appearance
douleurxx_intens: pain_intensity
douleurxx_precis: pain_localization
pdc: loss_of_consciousness
lesions_peau_endroitducorps: skin_lesion_location
lesions_peau: skin_lesions
lesions_peau_couleur: lesion_color
lesions_peau_intens: lesion_pain_intensity
lesions_peau_elevee: lesion_swelling
lesions_peau_prurit: lesion_itching
lesions_peau_plusqu1cm: lesion_larger_than_1cm
lesions_peau_desquame: lesion_peeling
pale: pale
palpit: heart_palpitations
vo_sg: vomit_blood_or_coffee_beans
melena: black_stools
diarrhee: diarrhea
etouff: choking_feeling
fatig_mod: constant_fatigue
irritable: irritability
faible: lightheaded
nausee: nausea
friss: chills
ww_respi: pain_on_deep_breath
perte_appet: loss_of_appetite
rectorragie: blood_in_stool
perte_poids: weight_loss
pyrosis: burning_sense
bw_bending: pain_on_forward_leaning
ww_effort: pain_on_physical_effort
footnumb: foot_numbness
dyspn: difficulty_breathing
pertes_vag: vaginal_discharge
ballon_abdo: abdominal_bloat
larmes: excessive_tears
rhino_clair: clear_runny_nose
fatig_ext: exhaustion
convulsion: convulsion
paralysie_visage: face_paralysis
msk_dlr: muscle_pain
ww_bouger: pain_on_movement
toux: cough
ww_dd: pain_on_lying_down
ww_bouffe: pain_after_eating
dysp_effort: difficulty_breathing_on_effort
gain_poids: weight_gain
anxiete_s: anxiety
diaph: increased_sweating
gorge_dlr: sore_throat
adp_dlr: swollen_painful_lymph_nodes
etourdissement: dizziness
hta: high_blood_pressure
dysphagie: difficulty_swallowing
erytheme_occ: diffuse_redness_in_eyes
trismus: difficulty_opening_mouth
dysarthrie: difficulty_speaking
laryngospasme: suffocation_episodes
sialorhee: increased_saliva
confusion: confusion
volume_parole: voice_tone_change
ulcères_bouche: mouth_ulcers
diplopie: double_vision
toux_sev: intense_coughing
claud_mâchoire: jaw_pain
ptose: difficulty_opening_eyelids
faiblesse_msmi: muscle_weakness
fatigabilité_msk: muscle_weakness_on_fatigue
vo_violent: violent_vomiting
posttus_emesis: vomiting_after_coughing
insp_siffla: wheezing_on_inhalation
rds_sg: unusual_bleeding_bruising
oedeme_endroitducorps: swelling_location
oedeme: swelling
crach_sg: bloody_cough
stridor: high_pitched_breathing
